City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kodiak,57.79,-152.4072,56.71,77,100,8.05,US,overcast clouds
1,Asau,46.4333,26.4,52.72,97,100,3.76,RO,overcast clouds
2,Waingapu,-9.6567,120.2641,79.0,77,28,9.31,ID,scattered clouds
3,Saint-Philippe,-21.3585,55.7679,63.99,83,87,12.01,RE,light rain
4,Upernavik,72.7868,-56.1549,44.74,93,100,33.55,GL,light rain
5,Gari,59.4307,62.3497,49.75,97,11,7.34,RU,few clouds
6,Torbay,47.6666,-52.7314,71.38,85,83,5.64,CA,broken clouds
7,Arcata,40.8665,-124.0828,76.68,86,100,5.99,US,overcast clouds
8,Hamilton,39.1834,-84.5333,85.77,62,20,6.91,US,few clouds
9,Pisco,-13.7,-76.2167,63.01,77,2,2.33,PE,clear sky
10,Georgetown,5.4112,100.3354,76.93,94,20,2.3,MY,few clouds
11,Nyrob,60.733,56.7202,42.49,99,74,5.59,RU,light rain
12,Hermanus,-34.4187,19.2345,54.75,77,24,11.54,ZA,few clouds
13,Codrington,-38.2667,141.9667,52.41,84,71,11.36,AU,broken clouds
14,Pangnirtung,66.1451,-65.7125,47.68,93,100,3.09,CA,light rain
15,Auki,-8.7676,160.7034,83.39,66,78,2.73,SB,broken clouds
16,Yeppoon,-23.1333,150.7333,65.98,94,100,5.97,AU,overcast clouds
17,Khatanga,71.9667,102.5,34.97,84,100,6.02,RU,overcast clouds
18,Saskylakh,71.9167,114.0833,36.99,85,100,10.07,RU,overcast clouds
19,East London,-33.0153,27.9116,63.93,82,100,15.28,ZA,overcast clouds
20,Barrow,71.2906,-156.7887,39.22,93,100,6.91,US,fog
21,Puerto Ayora,-0.7393,-90.3518,68.56,90,87,10.0,EC,overcast clouds
22,Nikolskoye,59.7035,30.7861,44.8,90,88,4.79,RU,overcast clouds
23,Bathsheba,13.2167,-59.5167,82.38,73,31,8.34,BB,scattered clouds
24,Ridgecrest,35.6225,-117.6709,111.02,8,9,3.0,US,clear sky
25,Ushuaia,-54.8,-68.3,36.75,99,100,2.93,AR,light rain
26,Faanui,-16.4833,-151.75,78.76,69,0,20.87,PF,clear sky
27,Wanaka,-44.7,169.15,45.82,92,86,8.37,NZ,overcast clouds
28,Conceicao Do Mato Dentro,-19.0372,-43.425,60.8,46,0,1.74,BR,clear sky
29,Itoman,26.1247,127.6694,79.18,94,75,25.32,JP,shower rain
30,Kapaa,22.0752,-159.319,84.18,65,12,8.01,US,few clouds
31,Lubango,-14.9172,13.4925,62.19,38,2,4.65,AO,clear sky
32,Punta Arenas,-53.15,-70.9167,41.11,93,100,13.58,CL,overcast clouds
33,Rikitea,-23.1203,-134.9692,70.59,71,56,21.63,PF,broken clouds
34,Mnogovershinnyy,53.9353,139.9242,59.4,70,45,4.38,RU,scattered clouds
35,Lienz,46.8289,12.769,60.89,98,61,3.31,AT,broken clouds
36,Jamestown,42.097,-79.2353,77.72,41,96,4.61,US,overcast clouds
37,Bluff,-46.6,168.3333,46.04,78,98,22.66,NZ,light rain
38,Yulara,-25.2406,130.9889,53.06,46,68,15.57,AU,broken clouds
39,Yellowknife,62.456,-114.3525,63.12,67,75,5.75,CA,broken clouds
40,Bara,10.3744,10.7288,68.92,96,76,10.07,NG,light rain
41,Sembe,1.6481,14.5806,67.8,99,74,1.66,CG,broken clouds
42,Namatanai,-3.6667,152.4333,83.82,64,28,9.75,PG,scattered clouds
43,Shizunai,42.3339,142.3669,65.08,70,93,2.44,JP,overcast clouds
44,Brazzaville,-4.2658,15.2832,76.96,64,54,2.37,CG,broken clouds
45,Busselton,-33.65,115.3333,56.89,61,100,14.63,AU,overcast clouds
46,Saldanha,-33.0117,17.9442,54.91,89,85,13.89,ZA,overcast clouds
47,College,64.8569,-147.8028,63.59,63,72,1.01,US,broken clouds
48,Cabo San Lucas,22.8909,-109.9124,82.62,94,100,11.5,MX,mist
